City,Latitude,Longitude,NDVI_Vegetation_Index,Population_Density,Ambient_Temperature,Concrete_Density
"Rahim Yar Khan, Pakistan",28.4202,70.2952,0.197,4750,37.38,80.3
"Lahore, Pakistan",31.5497,74.3436,0.303,12500,34.34,69.7
"Karachi, Pakistan",24.8607,67.0011,0.106,15400,28.02,89.4
"Islamabad, Pakistan",33.6844,73.0479,0.392,3200,32.94,60.8
"Multan, Pakistan",30.1575,71.5249,0.21,6100,38.17,79.0
"Faisalabad, Pakistan",31.4504,73.135,0.194,8700,36.32,80.60000000000001
"Peshawar, Pakistan",34.0151,71.5249,0.254,5900,31.7,74.6
"Quetta, Pakistan",30.1798,66.975,0.107,2800,28.61,89.3
"Mumbai, India",19.076,72.8777,0.215,20700,26.12,78.5
"Delhi, India",28.7041,77.1025,0.269,11300,29.99,73.1
"Dhaka, Bangladesh",23.8103,90.4125,0.366,23200,28.36,63.4
"Dubai, UAE",25.2048,55.2708,0.099,4200,37.01,90.10000000000001
"Riyadh, Saudi Arabia",24.7136,46.6753,0.083,3900,38.01,91.7
"Istanbul, Turkey",41.0082,28.9784,0.028,10800,25.05,95.0
"Tokyo, Japan",35.6762,139.6503,0.203,6400,25.29,79.69999999999999
"Beijing, China",39.9042,116.4074,0.301,9300,25.72,69.9
Singapore,1.3521,103.8198,0.415,8000,28.13,58.5
"London, UK",51.5074,-0.1278,0.241,5700,20.01,75.9
"Paris, France",48.8566,2.3522,0.191,20500,21.42,80.89999999999999
"New York, USA",40.7128,-74.006,0.059,10700,24.26,94.10000000000001
"Los Angeles, USA",34.0522,-118.2437,0.112,3200,26.09,88.8
"Cairo, Egypt",30.0444,31.2357,0.121,19500,31.46,87.9
"Nairobi, Kenya",-1.2921,36.8219,0.278,6200,19.48,72.2
"Sydney, Australia",-33.8688,151.2093,0.075,2100,15.34,92.5
